skill,operational_category,capability_role,portfolio_class,program_family,research_area,research_area_title,secondary_area,github_area_label,github_area_topic,has_sanity,confidence,classification_basis,review_priority
paper-lab,core,capability,research-capability,evidence-assurance,research-intelligence,Research Intelligence & Evidence Synthesis,,area: research-intelligence,ra-research-intelligence,True,high,curated-or-explicit,none
perplexity,core,researcher,research-capability,evidence-assurance,research-intelligence,Research Intelligence & Evidence Synthesis,,area: research-intelligence,ra-research-intelligence,True,high,curated-or-explicit,none
provider-packet,core,capability,research-capability,evidence-assurance,research-intelligence,Research Intelligence & Evidence Synthesis,,area: research-intelligence,ra-research-intelligence,False,high,curated-or-explicit,none
social-bridge,core,capability,research-capability,evidence-assurance,research-intelligence,Research Intelligence & Evidence Synthesis,,area: research-intelligence,ra-research-intelligence,True,high,curated-or-explicit,none
analyze-elf,core,capability,research-capability,evidence-assurance,security-adaptive-defense,"Security, Hacking & Adaptive Defense",,area: security-hacking,ra-security-hacking,True,high,curated-or-explicit,none
anvil,core,adversarial-runner,research-capability,evidence-assurance,security-adaptive-defense,"Security, Hacking & Adaptive Defense",,area: security-hacking,ra-security-hacking,True,high,curated-or-explicit,none
battle,core,adversarial-runner,research-capability,evidence-assurance,security-adaptive-defense,"Security, Hacking & Adaptive Defense",,area: security-hacking,ra-security-hacking,True,high,curated-or-explicit,none
best-practices-competition,best-practices,standards,support-enabler,evidence-assurance,security-adaptive-defense,"Security, Hacking & Adaptive Defense",,area: security-hacking,ra-security-hacking,True,high,curated-or-explicit,none
best-practices-security,best-practices,standards,support-enabler,evidence-assurance,security-adaptive-defense,"Security, Hacking & Adaptive Defense",,area: security-hacking,ra-security-hacking,False,high,curated-or-explicit,none
hack,core,adversarial-runner,research-capability,evidence-assurance,security-adaptive-defense,"Security, Hacking & Adaptive Defense",,area: security-hacking,ra-security-hacking,True,high,curated-or-explicit,none
monitor-misuse,monitor,monitor,support-enabler,evidence-assurance,security-adaptive-defense,"Security, Hacking & Adaptive Defense",,area: security-hacking,ra-security-hacking,False,high,curated-or-explicit,none
monitor-security,monitor,monitor,support-enabler,evidence-assurance,security-adaptive-defense,"Security, Hacking & Adaptive Defense",,area: security-hacking,ra-security-hacking,True,medium,rule-derived,human-review
security-scan,core,capability,research-capability,evidence-assurance,security-adaptive-defense,"Security, Hacking & Adaptive Defense",,area: security-hacking,ra-security-hacking,True,high,curated-or-explicit,none
thunderdome,core,adversarial-runner,research-capability,evidence-assurance,security-adaptive-defense,"Security, Hacking & Adaptive Defense",,area: security-hacking,ra-security-hacking,True,high,curated-or-explicit,none
agentic-evals,core,evaluator,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
assess,core,capability,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
batch-quality,core,capability,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
best-practices-self-improvement-loop,best-practices,standards,support-enabler,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
classifier-lab,core,capability,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
classifier-lab-subagent,core,capability,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
code-review-runner,core,capability,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
create-pdf-fixture,create,creator,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
create-peer-review,create,creator,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
debug-fetcher,core,capability,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
debug-pdf,core,capability,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
debugger,core,evaluator,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
edge-verifier,core,capability,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
eval-skills,core,evaluator,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
extractor-quality-check,core,capability,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
fixture-tricky,core,capability,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
formalize-request,core,capability,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
goal-drift,core,capability,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
grounded,core,capability,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,False,high,curated-or-explicit,none
lean4-prove,core,capability,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
learn-timeout,learn,learner,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
lie-detector,core,capability,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
llm-eval-lab,core,capability,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
match-requirement,core,capability,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,False,high,curated-or-explicit,none
monitor-drift-sensors,monitor,monitor,support-enabler,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
monitor-skill-health,monitor,monitor,support-enabler,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
nico-qa,core,capability,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
project-drift,core,capability,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
quality-audit,core,evaluator,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
regressor-lab,core,capability,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
review-code,review,reviewer,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,medium,rule-derived,human-review
review-page,review,reviewer,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,medium,rule-derived,human-review
review-paper,review,reviewer,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",research-intelligence,area: verification,ra-verification,True,high,contract-reviewed,none
review-plan,review,reviewer,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,medium,rule-derived,human-review
review-prompt,review,reviewer,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",model-systems-learning,area: verification,ra-verification,True,high,contract-reviewed,none
review-question,review,reviewer,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,medium,rule-derived,human-review
review-readme,review,reviewer,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,medium,rule-derived,human-review
skills-ci,core,capability,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
test,core,capability,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
test-interactions,core,capability,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
test-lab,core,evaluator,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,high,curated-or-explicit,none
webgpt-review,core,capability,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,False,high,curated-or-explicit,none
animation-vocabulary,core,capability,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,False,high,curated-or-explicit,none
apple-design,core,capability,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,False,high,curated-or-explicit,none
best-practices-d3,best-practices,standards,support-enabler,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
best-practices-design,best-practices,standards,support-enabler,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,False,high,curated-or-explicit,none
best-practices-kling-contact-sheet,best-practices,standards,support-enabler,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
best-practices-react,best-practices,standards,support-enabler,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
best-practices-streamdeck,best-practices,standards,support-enabler,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
casting-agent,core,capability,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
consume-midi,consume,consumer,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
consume-movie,consume,consumer,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,medium,rule-derived,human-review
consume-music,consume,consumer,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
create-architecture,create,creator,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
create-cast,create,creator,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
create-design,create,creator,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,False,high,curated-or-explicit,none
create-design-board,create,creator,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
create-figure,create,creator,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
create-icon,create,creator,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
create-image,create,creator,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
create-ksml,create,creator,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
create-lut,create,creator,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
create-midi,create,creator,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
create-mockup,create,creator,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
create-movie,create,creator,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
create-music,create,creator,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
create-react-designs,create,creator,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
create-score,create,creator,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
create-sound-design,create,creator,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
create-stems,create,creator,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
create-story,create,creator,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
create-storyboard,create,creator,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
create-streamdeck-page,create,creator,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
create-styleguide,create,creator,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
create-text,create,creator,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,False,high,curated-or-explicit,none
create-walkthrough,create,creator,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
discover-lut,discover,discoverer,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,research-intelligence,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
discover-movies,discover,discoverer,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
discover-music,discover,discoverer,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,research-intelligence,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
emil-design-eng,core,capability,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,False,high,curated-or-explicit,none
figure-lab,core,capability,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
find-animation-opportunities,core,capability,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,False,high,curated-or-explicit,none
improve-animations,core,capability,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,False,high,curated-or-explicit,none
ingest-movie,ingest,ingestor,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,extraction-document-intelligence,area: creative-media,ra-creative-media,True,medium,rule-derived,human-review
ingest-yt-history,ingest,ingestor,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,extraction-document-intelligence,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
learn-artist,learn,learner,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,medium,rule-derived,human-review
learn-movie,learn,learner,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,medium,rule-derived,human-review
mockup-lab,core,capability,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
music-lab,core,capability,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
ops-stitch,ops,operator,support-enabler,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
phart-dag-chart,core,capability,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
pick-ui-library,core,capability,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,False,high,curated-or-explicit,none
pitchdeck,core,capability,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
png-svg-converter,core,capability,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
project-infographic,core,capability,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,False,high,curated-or-explicit,none
prototype,core,capability,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,False,high,curated-or-explicit,none
prototype-react-iterate,core,capability,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
review-animations,review,reviewer,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,False,high,curated-or-explicit,none
review-design,review,reviewer,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
review-music,review,reviewer,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
review-story,review,reviewer,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
sfx-catalog,core,capability,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
sprite-atlas,core,capability,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,False,high,curated-or-explicit,none
story-lab,core,capability,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
streamdeck-lab,core,capability,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
ux-lab,core,capability,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,high,curated-or-explicit,none
best-practices-chat,best-practices,standards,support-enabler,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,False,high,curated-or-explicit,none
best-practices-chat-ux,best-practices,standards,support-enabler,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,False,high,curated-or-explicit,none
best-practices-chatterbox-agent,best-practices,standards,support-enabler,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,False,high,curated-or-explicit,none
best-practices-converse,best-practices,standards,support-enabler,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,False,high,curated-or-explicit,none
conversation-lab,core,capability,research-capability,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,True,high,curated-or-explicit,none
converse,core,capability,research-capability,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,True,high,curated-or-explicit,none
create-persona,create,creator,research-capability,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,True,high,curated-or-explicit,none
embry-config,core,capability,research-capability,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,True,high,curated-or-explicit,none
embry-dashboard,core,capability,research-capability,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,False,high,curated-or-explicit,none
embry-voice-control,core,multimodal-system,research-capability,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,True,high,curated-or-explicit,none
get-subtitles,core,capability,research-capability,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,True,high,curated-or-explicit,none
hum,core,capability,research-capability,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,True,high,curated-or-explicit,none
ingest-audiobook,ingest,ingestor,research-capability,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",extraction-document-intelligence,area: voice-persona,ra-voice-persona,True,high,curated-or-explicit,none
ingest-youtube,ingest,ingestor,research-capability,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,True,high,curated-or-explicit,none
learn-voice,learn,learner,research-capability,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,True,high,curated-or-explicit,none
monitor-personas,monitor,monitor,support-enabler,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,True,high,curated-or-explicit,none
ops-embry-agent,ops,operator,support-enabler,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,True,high,curated-or-explicit,none
orpheus-tts-voice-trainer,core,capability,research-capability,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,False,high,curated-or-explicit,none
persona-dream,core,multimodal-system,research-capability,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,True,high,curated-or-explicit,none
personaplex,core,multimodal-system,research-capability,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,True,high,curated-or-explicit,none
review-conversation,review,reviewer,research-capability,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,True,high,curated-or-explicit,none
review-persona,review,reviewer,research-capability,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,True,high,curated-or-explicit,none
train-persona,train,trainer,research-capability,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",model-systems-learning,area: voice-persona,ra-voice-persona,True,medium,rule-derived,human-review
train-voice,train,trainer,research-capability,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",model-systems-learning,area: voice-persona,ra-voice-persona,True,high,curated-or-explicit,none
tts-horus,tts,renderer,research-capability,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,True,high,curated-or-explicit,none
tts-train,tts,renderer,research-capability,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,True,high,curated-or-explicit,none
voice-lab,core,multimodal-system,research-capability,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,True,high,curated-or-explicit,none
voice-segment-selector,core,capability,research-capability,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,True,high,curated-or-explicit,none
watch,core,multimodal-system,research-capability,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",,area: voice-persona,ra-voice-persona,True,high,curated-or-explicit,none
